id,customerID,client_name,client_eic,gas_node,gas_operator,serNUM,mfDEV,typeDEV,chNUM,address,scenario,note
74,21,Альянс,56XSO00000002101,2101,GAS_2,5074,1,5,0,0,hourly,0
75,21,Альянс,56XSO00000002102,2102,GAS_2,6200,1,5,0,0,hourly,0
76,22,"ТОВ "ДНЕПРОПРЕСС СТАЛЬ"",56XSO00000002201,2201,GAS_2,21358,1,15,0,0,hourly,0
77,23,"ТОВ "АГРО-РОСЬ"",56XSO00000002301,2301,GAS_2,5765,3,2,0,0,hourly,0
78,23,"ТОВ "АГРО-РОСЬ"",56XSO00000002302,2302,GAS_2,7269,3,2,0,0,hourly,0
79,24,"ОСББ "БЕСТУЖЕВСЬКІ САДИ"",56XSO00000002401,2401,GAS_2,1085,1,11,0,0,hourly,0
80,24,"ОСББ "БЕСТУЖЕВСЬКІ САДИ"",56XSO00000002402,2402,GAS_2,1110,1,11,0,0,hourly,0
81,24,"ОСББ "ЦІЛИНОГРАДСЬКА"",56XSO00000002403,2403,GAS_2,871,1,11,0,0,hourly,0
82,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002501,2501,GAS_2,6471,1,5,0,0,hourly,0
83,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002502,2502,GAS_2,6227,1,5,0,0,hourly,0
84,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002503,2503,GAS_2,6332,1,5,0,0,hourly,0
85,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002504,2504,GAS_2,6228,1,5,0,0,hourly,0
86,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002505,2505,GAS_2,6226,1,5,0,0,hourly,0
87,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002506,2506,GAS_2,6347,1,5,0,0,hourly,0
88,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002507,2507,GAS_2,6333,1,5,0,0,hourly,0
89,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002508,2508,GAS_2,243,1,12,0,0,hourly,0
90,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002509,2509,GAS_2,242,1,12,0,0,hourly,0
91,25,"ПрАТ "БЕРДЯНСЬКЕ ПІДПРИЄМСТВО ТЕПЛОВИХ МЕРЕЖ"",56XSO00000002510,2510,GAS_2,244,1,12,0,0,hourly,0
92,26,"ПАТ "ЧАСІВОЯРСЬКИЙ ВОГНЕТРИВКИЙ КОМБІНАТ"",56XSO00000002601,2601,GAS_2,9899,3,2,0,0,hourly,0
93,26,"ПАТ "ЧАСІВОЯРСЬКИЙ ВОГНЕТРИВКИЙ КОМБІНАТ"",56XSO00000002602,2602,GAS_2,9899,3,2,1,0,hourly,0
94,29,"ОСББ ЖК КІРОВСЬКИЙ",56XSO00000002901,2901,GAS_2,3249,1,2,0,0,hourly,0
95,30,"ТОВ "Комплекс "Агротех"",56XSO00000003001,3001,GAS_2,9598,3,2,0,0,hourly,0
96,30,"ТОВ "Комплекс "Агротех"",56XSO00000003002,3002,GAS_2,9598,3,2,1,0,hourly,0
97,31,"ПАТ «Роганська картонна фабрика»",56XSO00000003101,3101,GAS_2,8072,1,5,0,0,hourly,0
